,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
124,2.839204740524292,0.05897127330581511,0.008570289611816407,0.00432753449990041,0.8,0,0.15,5,2000,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 2000}",0.8011834319526627,0.8197310366736084,0.8200483330370136,0.8204807057430109,0.8665381901091146,0.8255963395030822,0.021742019445801977,1
125,3.563745212554932,0.08733755071904857,0.010758352279663087,0.0029541748243512743,0.8,0,0.15,5,3000,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 3000}",0.7987866599631306,0.8159356228040349,0.8200483330370136,0.8180066228760654,0.8639269406392694,0.8233408358639028,0.02165304153475824,2
211,1.0686521530151367,0.04773181171291672,0.004292440414428711,0.0008298990315230363,0.8,0,0.3,20,300,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 20, 'n_estimators': 300}",0.8084469571000997,0.823497959757985,0.8107993966817496,0.8132205363564751,0.8542185645986138,0.8220366828989846,0.016890769837183368,3
1006,3.2806629180908202,0.07022495540389904,0.008684349060058594,0.0013653490472023161,0.9,0,0.15,20,2000,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 20, 'n_estimators': 2000}",0.8120754512733079,0.8146489000485062,0.8214285714285714,0.8046542117338578,0.8534906588003933,0.8212595586569273,0.016986221262432398,4
129,2.246470546722412,0.049470352123500046,0.007796478271484375,0.0012492220641408254,0.8,0,0.15,7,1000,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 7, 'n_estimators': 1000}",0.8133524570569957,0.820954544498433,0.80479302832244,0.8177741540970241,0.8490000206820956,0.8211748409313977,0.014935911779707422,5
123,2.036180591583252,0.03229999917459239,0.006839561462402344,0.0017411227933272343,0.8,0,0.15,5,1000,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 1000}",0.7951586874663799,0.8159356228040349,0.8141482783824894,0.8180066228760654,0.8622118710826455,0.8210922165223231,0.022125566859499218,6
122,1.4647056579589843,0.03937963485178954,0.006038188934326172,0.0016478676811660967,0.8,0,0.15,5,500,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 500}",0.7915056352562676,0.8248494800218938,0.810645885616167,0.8070966195157037,0.8691639041855841,0.8206523049191233,0.02647415694103096,7
1023,1.8050025939941405,0.05103941894522234,0.005825185775756836,0.0014677534674708563,0.9,0,0.2,5,1000,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 1000}",0.7951586874663799,0.8274317345279196,0.8107993966817496,0.8095519516217702,0.8595952146837103,0.8205073969963059,0.02205732563168028,8
121,1.141087818145752,0.016457480826079337,0.003958892822265625,0.0011075223064175772,0.8,0,0.15,5,300,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 300}",0.792780291603821,0.823497959757985,0.8130551415797318,0.8070966195157037,0.8656997705670273,0.8204259566048538,0.024720187575236682,9
212,1.2781930923461915,0.0654132996885951,0.005740737915039063,0.0016369393676784994,0.8,0,0.3,20,500,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 20, 'n_estimators': 500}",0.8084469571000997,0.8134058098902263,0.8107993966817496,0.8132205363564751,0.8551632851440507,0.8202071970345202,0.017571626795665207,10
