UniProtKB	GENEID
P04217	1
P11245	10
P00813	100
P19022	1000
Q9Y243	10000
O76087	100008586
P0CL80	100008586
P0CL81	100008586
P0CL82	100008586
Q9Y5X4	10002
Q9Y3Q0	10003
A6NHG4	100037417
Q9UQQ1	10004
Q08ET2	100049587
O14734	10005
Q8IZP0	10006
P46926	10007
Q9Y6H6	10008
Q86T24	10009
P22223	1001
Q92844	10010
Q86W11	100101467
Q9HD15	10011
Q5T4T1	100113407
P0C6A0	100125288
P0DMB2	100127983
H3BQW9	100128071
P0C6T2	100128731
B2RXF5	100128927
Q5T750	100129271
A6NGG3	100129385
H3BPM6	100129480
Q6ZMV8	100129543
Q6ZV65	100129583
Q7RTU0	100129654
Q4G0S7	100129792
A6NFA0	100129969
Q9UBN7	10013
P0DMQ9	100130301
Q6ZR85	100130311
B1ATL7	100130613
Q6ZNQ3	100130742
H0UI37	100130890
P0DI80	100130933
A8MT33	100130958
A6NFI3	100131017
Q075Z2	100131137
Q8NFU3	100131187
A6NFY4	100131211
P0DJ07	100131801
A6NMK8	100131897
A8MUZ8	100131980
P43631	100132285
A1L429	100132399
P25063	100133941
B7U540	100134444
Q86WV5	100134934
P0C870	100137047
P0C869	100137049
Q9UQL6	10014
Q6UX52	100141515
B2CW77	100144748
Q8WUM4	10015
O75340	10016
Q9HD36	10017
O43521	10018
Q96B49	100188893
Q9UQQ2	10019
P55283	1002
Q9Y223	10020
Q9Y3Q4	10021
Q9Y5Q6	10022
Q92837	10023
Q12815	10024
Q9Y2X0	10025
Q92643	10026
A8MVX0	100271715
B6SEH9	100271846
Q02080	100271849
P56277	100272147
A8K0Z3	100287171
A6NN14	100287226
A6NHS7	100287284
A8MYJ7	100287898
O14925	100287932
E9PKD4	100288332
Q9H9K5	100288413
Q9UBX2	100288687
P0CW19	100288695
P0CW20	100288695
Q8WW34	100288797
Q86YR6	100288966
P0CV98	100289087
P0CW01	100289087
Q01534	100289087
P0DP42	100289187
O15263	100289462
Q6ZMS7	100289678
E7ETH6	100293516
