,id
0,ENSP287652
1,ENSP398596
2,ENSP363500
3,ENSP234195
4,ENSP459615
5,ENSP370695
6,ENSP355141
7,ENSP255078
8,ENSP244520
9,ENSP480740
10,ENSP359942
11,ENSP259782
12,ENSP480221
13,ENSP326018
14,ENSP391249
15,ENSP217402
16,ENSP350698
17,ENSP370950
18,ENSP231887
19,ENSP331106
20,ENSP440498
21,ENSP318222
22,ENSP377823
23,ENSP337838
24,ENSP263556
25,ENSP323184
26,ENSP365811
27,ENSP374390
28,ENSP302961
29,ENSP321259
30,ENSP450353
31,ENSP369927
32,ENSP392398
33,ENSP403495
34,ENSP349960
35,ENSP386541
36,ENSP336799
37,ENSP217426
38,ENSP456206
39,ENSP386588
40,ENSP465676
41,ENSP467423
42,ENSP307288
43,ENSP479617
44,ENSP318297
45,ENSP299300
46,ENSP264649
47,ENSP414922
48,ENSP395590
49,ENSP479618
50,ENSP305416
51,ENSP249071
52,ENSP353824
53,ENSP378485
54,ENSP288943
55,ENSP296782
56,ENSP378015
57,ENSP339404
58,ENSP276390
59,ENSP318351
60,ENSP348064
61,ENSP249750
62,ENSP258106
63,ENSP306894
64,ENSP362413
65,ENSP256722
66,ENSP344562
67,ENSP357829
68,ENSP366746
69,ENSP254436
70,ENSP318982
71,ENSP384053
72,ENSP325708
73,ENSP359077
74,ENSP272198
75,ENSP225371
76,ENSP221930
77,ENSP346032
78,ENSP356918
79,ENSP376333
80,ENSP360252
81,ENSP380690
82,ENSP419494
83,ENSP283179
84,ENSP478767
85,ENSP264436
86,ENSP371798
87,ENSP264498
88,ENSP401303
89,ENSP353408
90,ENSP421922
91,ENSP215832
92,ENSP257934
93,ENSP262904
94,ENSP345731
95,ENSP427926
96,ENSP461785
97,ENSP442973
98,ENSP470298
99,ENSP261890
100,ENSP343325
101,ENSP304292
102,ENSP312442
103,ENSP366271
104,ENSP267064
105,ENSP416706
106,ENSP367828
107,ENSP292823
108,ENSP262265
109,ENSP349428
110,ENSP342374
111,ENSP286719
112,ENSP333196
113,ENSP357000
114,ENSP357005
115,ENSP441283
116,ENSP347821
117,ENSP237172
118,ENSP268603
119,ENSP402394
120,ENSP310565
121,ENSP393762
122,ENSP361275
123,ENSP358548
124,ENSP264042
125,ENSP286548
126,ENSP321971
127,ENSP258098
128,ENSP356042
129,ENSP357943
130,ENSP355986
131,ENSP299721
132,ENSP428288
133,ENSP365233
134,ENSP368727
135,ENSP212015
136,ENSP326424
137,ENSP393667
138,ENSP356940
139,ENSP304408
140,ENSP379644
141,ENSP190165
142,ENSP307954
143,ENSP346151
144,ENSP449629
145,ENSP390158
146,ENSP379203
147,ENSP286733
148,ENSP360296
149,ENSP345728
150,ENSP254759
151,ENSP369461
152,ENSP370555
153,ENSP364089
154,ENSP370485
155,ENSP381654
156,ENSP362621
157,ENSP450958
158,ENSP253407
159,ENSP359630
160,ENSP229030
161,ENSP470248
162,ENSP356224
163,ENSP215793
164,ENSP260563
165,ENSP324122
166,ENSP336721
167,ENSP359361
168,ENSP276594
169,ENSP228437
170,ENSP384629
171,ENSP368699
172,ENSP386772
173,ENSP358458
174,ENSP464814
175,ENSP399415
176,ENSP361366
177,ENSP313967
178,ENSP312082
179,ENSP375795
180,ENSP368872
181,ENSP324204
182,ENSP365757
183,ENSP253861
184,ENSP264951
185,ENSP317123
186,ENSP297265
187,ENSP346148
188,ENSP362946
189,ENSP310406
190,ENSP250559
191,ENSP364886
192,ENSP262713
193,ENSP256078
194,ENSP380958
195,ENSP354458
196,ENSP333534
197,ENSP280098
198,ENSP358565
199,ENSP445340
200,ENSP371398
201,ENSP387593
202,ENSP264668
203,ENSP370737
204,ENSP354720
205,ENSP365858
206,ENSP397133
207,ENSP360644
208,ENSP267484
209,ENSP216392
210,ENSP256442
211,ENSP357494
212,ENSP360141
213,ENSP372959
214,ENSP347507
215,ENSP269848
216,ENSP264867
217,ENSP345708
218,ENSP311030
219,ENSP308057
220,ENSP393324
