,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
408,4.082119941711426,0.061337568378138405,0.007601690292358398,0.0010200011870066359,0.8,1,0.3,5,100,"{'colsample_bytree': 0.8, 'gamma': 1, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100}",0.7666459627329192,0.7907196969696969,0.8003565909901343,0.8507561334818061,0.7917366080631387,0.800042998447539,0.027724366436313614,1
957,26.587594556808472,1.0313503010536549,0.016803836822509764,0.0004002333077948646,0.9,0,0.1,7,1000,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 1000}",0.7537957156953241,0.7845435875306659,0.7986718768729174,0.8510781671159029,0.8055816775367814,0.7987342049503183,0.03164687529623081,2
164,11.057893180847168,0.129373304125502,0.016603755950927734,0.010709128471873147,0.8,0,0.2,7,500,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 500}",0.7603168740127159,0.7983373931871787,0.7871725731895223,0.8480969155425724,0.7921735173669043,0.7972194546597786,0.02855859793927295,3
124,26.143894481658936,0.3745046181983716,0.019004344940185547,0.0008946289729070344,0.8,0,0.15,5,2000,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 2000}",0.7628156565656565,0.7846653520473263,0.8003565909901343,0.8464788233209286,0.790566153093666,0.7969765152035423,0.027646067224066713,4
123,18.589191007614136,0.10148246553702533,0.015203475952148438,0.0004003048085115577,0.8,0,0.15,5,1000,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 1000}",0.7558396464646465,0.7889207258834765,0.8046717171717171,0.8501059771089445,0.7846653520473262,0.7968406837352222,0.03095340386522638,5
956,19.083902311325073,1.508463470355384,0.015803766250610352,0.0016004681842495838,0.9,0,0.1,7,500,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500}",0.7492228641750374,0.7800783256291731,0.8013610683102209,0.8510781671159029,0.8014693007498763,0.7966419451960421,0.03326198574815046,6
954,5.81791205406189,0.10020409748200632,0.008001232147216797,4.90933901833868e-07,0.9,0,0.1,7,100,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.7742115479829931,0.7736152776761542,0.7800783256291731,0.8501059771089445,0.8040780141843972,0.7964178285163325,0.029055637381807293,7
1062,4.518218278884888,0.1494477053146404,0.008002281188964844,6.03156597169567e-07,0.9,0,0.3,7,100,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 100}",0.7548756816711341,0.7950535589384091,0.787988910839573,0.833946482367535,0.8081991549617449,0.7960127577556791,0.025865177170403972,8
955,13.750900220870971,0.5917580261686027,0.0138031005859375,0.004622520965211989,0.9,0,0.1,7,300,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300}",0.7467613075723334,0.7863465271999683,0.7942668207498715,0.8537073160426188,0.798877597451843,0.7959919138033269,0.034231730439476894,9
409,11.82606635093689,0.12545005796345626,0.007001733779907227,1.1680077279964342e-07,0.8,1,0.3,5,300,"{'colsample_bytree': 0.8, 'gamma': 1, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 300}",0.7524455458458328,0.7881062219532705,0.7960021644332687,0.849112426035503,0.7942499944583601,0.7959832705452469,0.030929898585680862,10
410,19.71164450645447,0.38813873421823386,0.008002042770385742,3.9895058943465975e-07,0.8,1,0.3,5,500,"{'colsample_bytree': 0.8, 'gamma': 1, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 500}",0.7524455458458328,0.7881062219532705,0.7960021644332687,0.849112426035503,0.7942499944583601,0.7959832705452469,0.030929898585680862,10
57,31.425485372543335,0.3836379540637063,0.02100481986999512,0.0006325605100375587,0.8,0,0.05,7,1000,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 1000}",0.7439967439967441,0.7889677563102778,0.7986718768729174,0.8480969155425724,0.798877597451843,0.7957221780348709,0.03311468937857963,12
794,9.488138961791993,0.2977287929912883,0.007201528549194336,0.00039989969238978966,0.8,3,0.2,2,500,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 500}",0.7603168740127159,0.8143666547803003,0.7853326857697912,0.8328373971556811,0.7845729325225137,0.7954853088482005,0.025340316676635423,13
92,15.559908390045166,0.20982662701567348,0.013802909851074218,0.0004001379403725326,0.8,0,0.1,7,500,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500}",0.7533695370275771,0.7881062219532705,0.8013610683102209,0.8501059771089445,0.7838102225483004,0.7953506053896626,0.03156690680113248,14
1008,2.417944240570068,0.2945230870650717,0.008601999282836914,0.003262571219023206,0.9,0,0.2,2,100,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 100}",0.7735093167701863,0.781933348187287,0.8036060896611399,0.8288064336668943,0.7886747347975498,0.7953059846166115,0.019437424925961205,15
1063,8.161439847946166,0.49743562519547846,0.009202194213867188,0.0003999713778096149,0.9,0,0.3,7,300,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 7, 'n_estimators': 300}",0.7578347578347578,0.7993487993487993,0.7924882629107981,0.8313692242475625,0.7947394465380078,0.7951560981759852,0.023362973404324208,16
886,107.06774115562439,3.155163343552343,0.06741518974304199,0.01013335030003021,0.9,0,0.01,7,2000,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 2000}",0.7517013353877761,0.7748989400642964,0.7986718768729174,0.8527449937976255,0.7973220836390316,0.7950678459523294,0.033562368847441904,17
412,77.23321413993835,1.1132915854147476,0.011202478408813476,0.002926516852901361,0.8,1,0.3,5,2000,"{'colsample_bytree': 0.8, 'gamma': 1, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 2000}",0.7524455458458328,0.7881062219532705,0.7933515590950513,0.8470588235294119,0.7942499944583601,0.7950424289763853,0.030238378647085392,18
56,20.95512490272522,0.5074283009011555,0.016203641891479492,0.0009798611797843906,0.8,0,0.05,7,500,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 500}",0.7578347578347578,0.7755712270803949,0.7960021644332687,0.8517614654022078,0.7931394287204904,0.7948618086942238,0.031575202206228815,19
