,id,probability,answers,pred,label,Entry,Protein names,UniProtKB,geneName
0,ENSP00000293330,1.0,0.0,1.0,1.0,O43612,Hypocretin neuropeptide precursor (Hypocretin) (Hcrt) (Orexin precursor) (Prepro-orexin) (Preprohypocretin) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)],O43612,HCRT
1,ENSP00000336630,1.0,1.0,1.0,1.0,P29274,Adenosine receptor A2a,P29274,ADORA2A
2,ENSP00000356213,1.0,0.0,1.0,1.0,P01282,VIP peptides [Cleaved into: Intestinal peptide PHV-42 (Peptide histidine valine 42); Intestinal peptide PHM-27 (Peptide histidine methioninamide 27); Vasoactive intestinal peptide (VIP) (Vasoactive intestinal polypeptide)],P01282,VIP
3,ENSP00000321106,1.0,0.0,1.0,1.0,P20366,Protachykinin-1 (PPT) [Cleaved into: Substance P; Neurokinin A (NKA) (Neuromedin L) (Substance K); Neuropeptide K (NPK); Neuropeptide gamma; C-terminal-flanking peptide],P20366,TAC1
4,ENSP00000384364,0.9999999999999929,0.0,1.0,1.0,P01303,Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)],P01303,NPY
5,ENSP00000276571,0.9999999999999929,0.0,1.0,1.0,P06850,Corticoliberin (Corticotropin-releasing factor) (CRF) (Corticotropin-releasing hormone),P06850,CRH
6,ENSP00000437737,0.9999999999999858,1.0,1.0,1.0,P28223,5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A),P28223,HTR2A
7,ENSP00000369647,0.9999999999999858,0.0,1.0,1.0,P01185,Vasopressin-neurophysin 2-copeptin (AVP-NPII) [Cleaved into: Arg-vasopressin (Arginine-vasopressin); Neurophysin 2 (Neurophysin-II); Copeptin],P01185,AVP
8,ENSP00000461007,0.9999999999999858,1.0,1.0,1.0,Q8NER1,Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1),Q8NER1,TRPV1
9,ENSP00000256857,0.9999999999999858,0.0,1.0,1.0,P07492,Gastrin-releasing peptide (GRP) [Cleaved into: Neuromedin-C (GRP-10) (GRP18-27)],P07492,GRP
10,ENSP00000302150,0.9999999999999787,0.0,1.0,1.0,P01236,Prolactin (PRL),P01236,PRL
11,ENSP00000342007,0.9999999999999787,0.0,1.0,1.0,P05177,Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P(3)450) (Cytochrome P450 4) (Cytochrome P450-P3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),P05177,CYP1A2
12,ENSP00000331746,0.9999999999999716,0.0,1.0,1.0,P01258,Calcitonin [Cleaved into: Calcitonin; Katacalcin (Calcitonin carboxyl-terminal peptide) (CCP) (PDN-21)],P01258,CALCA
13,ENSP00000391800,0.9999999999999574,0.0,1.0,1.0,Q9ULZ1,Apelin (APJ endogenous ligand) [Cleaved into: Apelin-36; Apelin-31; Apelin-28; Apelin-13],Q9ULZ1,APLN
14,ENSP00000358963,0.9999999999999432,1.0,1.0,1.0,P28222,5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B),P28222,HTR1B
15,ENSP00000219244,0.9999999999999432,0.0,1.0,1.0,Q92583,C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine),Q92583,CCL17
16,ENSP00000459962,0.999999999999929,1.0,1.0,1.0,Q8NER1,Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1),Q8NER1,TRPV1
17,ENSP00000355370,0.999999999999929,0.0,1.0,1.0,P26441,Ciliary neurotrophic factor (CNTF),P26441,CNTF
18,ENSP00000354416,0.999999999999929,0.0,1.0,1.0,Q9NRJ3,C-C motif chemokine 28 (Mucosae-associated epithelial chemokine) (MEC) (Protein CCK1) (Small-inducible cytokine A28),Q9NRJ3,CCL28
19,ENSP00000312652,0.9999999999999147,0.0,1.0,1.0,P41159,Leptin (Obese protein) (Obesity factor),P41159,LEP
20,ENSP00000219833,0.9999999999999147,1.0,1.0,1.0,P23975,Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2),P23975,SLC6A2
21,ENSP00000356205,0.9999999999999147,1.0,1.0,1.0,P30542,Adenosine receptor A1,P30542,ADORA1
22,ENSP00000354511,0.9999999999998934,1.0,1.0,1.0,P21964,Catechol O-methyltransferase (EC 2.1.1.6),P21964,COMT
23,ENSP00000353198,0.9999999999998863,0.0,1.0,1.0,P10082,Peptide YY (PYY) (PYY-I) (Peptide tyrosine tyrosine) [Cleaved into: Peptide YY(3-36) (PYY-II)],P10082,PYY
24,ENSP00000430886,0.9999999999998863,0.0,1.0,1.0,Q8TDU6,G-protein coupled bile acid receptor 1 (G-protein coupled receptor GPCR19) (hGPCR19) (Membrane-type receptor for bile acids) (M-BAR) (hBG37) (BG37),Q8TDU6,GPBAR1
25,ENSP00000378089,0.9999999999998863,0.0,1.0,1.0,P08949,Neuromedin-B [Cleaved into: Neuromedin-B-32; Neuromedin-B],P08949,NMB
26,ENSP00000335074,0.999999999999865,0.0,1.0,1.0,Q9UBU3,Appetite-regulating hormone (Growth hormone secretagogue) (Growth hormone-releasing peptide) (Motilin-related peptide) (Protein M46) [Cleaved into: Ghrelin-27; Ghrelin-28 (Ghrelin); Obestatin],Q9UBU3,GHRL
27,ENSP00000295619,0.999999999999865,0.0,1.0,1.0,Q9HC23,Prokineticin-2 (PK2) (Protein Bv8 homolog),Q9HC23,PROK2
28,ENSP00000328111,0.999999999999865,0.0,1.0,1.0,Q9H293,Interleukin-25 (IL-25) (Interleukin-17E) (IL-17E),Q9H293,IL25
29,ENSP00000375066,0.9999999999998579,1.0,1.0,1.0,Q8TDS4,Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109A) (G-protein coupled receptor HM74A) (Niacin receptor 1) (Nicotinic acid receptor),Q8TDS4,HCAR2
